tweet_id,tweet
1209165327038390000,የምታየው ቆጮ መቁረጫ አይደለም
1201248964869260000,ብልፅግና ፓርቲ አዲስ ፓርቲ እንጂ የኢሕአዴግ ውህድ አይደለም ኦቦ በቀለ ገርባ ለ ኦ ኤም ኤን የሰጡት አስተያየት
1201212349534930000,መሪዬ ጌታ በደሙ ይሸፍንክ ስላንተ ሳስብ ይደክመኛል እንደ ድፎ ዳቦ እሳቱ ነደደብክ በጣም ነው እምታሳዝነኝ ዬethiopia መሪ dr. አብይ አህመድ በፀሎትም በድምፅም ከጎንህ ነኝ
1201509832836150000,ለሚሾ አንተ “ ተከብቤአለሁ” በልና አየሩን ይዘህ አዳሜን አፍዝዝ አደንግዘውም። እኔም ይሄ ብልጽግና ፒፒ ከተሳካ መልካም ካልተሳካም ያው…
1201248222569730000,እኔ እስካሁን ገርሞኛል፥ ያ መሪያቸው ውጪ ስለሆነ ግራ ተጋብተው ይሆናል
1201173233288060000,የጉዞ ማስታወሻ፣ዓፋር   በዓፋር የሚገፕው በኣለም ሞቃታማ ስራ ተብሎ የተሰየመው የኤርታዕሌ እሳተ ገሞራ ለማየት ፍቃድ ካላቸው የጉዞ ወኪሎች ውጪ መጓዝ ኣይመከርም.ጉዞው  ጥንቃቄ የሚፈልግ…
1201016836353070000,የመደመር ዓላማ ሀገራችን ባለፉት ዓመታት ያስመዘገበቻቸውን ድሎች ጠብቆና ስህተቶችን አርሞ የመጻኢውን ትውልድ ጥቅም ማረጋገጥ ነው ብለዋል። ክቡር አምባሳደሩ መድረኩ በጋራ ሀገራዊ ጉዳ…
1201471092558320000,በጣና ሀይቅ ውስጥ የሚገኙ የተለያዩ ገዳማት በጀልባ በታገዙ ሌቦች በተደጋጋሚ እየተዘረፉ ነው! ለሀገር ዘርፈ ብዙ ጥቅም ሊሰጡ የሚችሉ የአባቶች ጥበብን የያዙ መፅሐፍት የት እ…
1201310835508830000,ምንም የለም። የኦሮሞ ህዝብ ከተቀረው የኢትዮጵያ ህዝብ የተለየ ጥያቄና ፍላጎት ሊኖረው አይችልም። ሁለት መልስ አለው። አንዱ የዘውግ ብሔርተኞች ሌላኛው ደግሞ…
1201203533481210000,የአሰልጣኞች አስተያየት | ወልቂጤ ከተማ 0-0 ቅዱስ ጊዮርጊስ
1201221230600310000,ፀዲ ግን ሙዷ ከባድ ነዉ ???♂️
1200981527590510000,እኔ ከውሸታም ይልቅ ደግሞ የወንድ ቆንጆ ይመቸኛል። ሌሎቹ ከፊልም ማጀቢያነት ያለፈ ሚናም ያላቸው አይመስለኝም።  ኦቨርሬትድ ማለት የተሰቀለችበት ጣሪያ አይገባትም ማ…
1201191107880790000,የ28 ዓመቱ ከፋፋይ ፣ ጨቋኝና አፋኝና የውክልና ስርዓት ከዛሬ ጀምሮ ላይመለስ ተቀበረ!! እነሆ በህዋህት ምክንያት በኢትዮጵያ ላይ ተጭኖ የነበረው ጥቁር ሸማ ዛሬ በይፋ ተቀደደ፡
1201428893674220000,ኦሮሞ ከኦዴፖ ምንም አይጠብቅም ሄዶ ከሚኒሊክ ሃውልት የምልክት  ኦሮሞ ራሱን በራሱ በልጆቹ ደም ራሱን ነፃ ይወጣል።የኦሮሞ ነፃ መውጠት ሩቅ አይደለም ከማንም ምንም አንጠብቅም
1201092474212630000,አንተ ልጀ ግን በጤናህ ነው ወይስ ላማና አብይ የሚባሉ ሰይጣናት ለከፉህ? ደሞ ስለራስህ ብቻ ለምን ነው የማታወራው? እናከብርሀለን!!! ???? ከነማን ጋር ነው የምታከብረው?
1201071792653300000,እስቲ  አስተማሪ የሚደጋግመውን ቃል የቆጠራችሁ ወይም የምታስታውሱትን?
1201106489429160000,በሲዳማ እና በደቡብ ክልል መካከል ልደረግ ያለው የስልጣን ሽግግር ሆነ ተብሎ ለህዝብ ግልጽ ባልሆነ ምክንያት እየተጓተተ ነው። የስልጣን ሽግግሩ በሚቀጥሉት ጥቅት ቀናት ውስጥ የማይካሄ…
1201107991916920000,ለማ ለሚኮ አብቹ ለሚኮ ትላንት የአንድ ሳንቲም ገፅታ መሆናችሁን አሳያችሁን በፈጣሪም በህዝብ ዘንድ የተወደዳችሁ የተቀናባችሁ ነበራችሁ። እውነት ለሰይጣን እድል…
1201199131374600000,ደህና እግዚአብሄር ይመስገን! እኔ በጣም ደህና ነኝ፡፡ ቤተሰብ ሁሉ ሰላም? :-)
1200930461939160000,እሺ
1200982263674130000,ቆሻሻ ይሄ ከሀዲ
